leg,journee,date,match,win_type,score,available,winner
First Leg,1,"September 12, 2024",NICE - Unknown,,,yes,
First Leg,1,"September 12, 2024",BRIANÇON - Unknown,,,yes,
First Leg,1,"September 12, 2024",ANGLET - Unknown,,,yes,
First Leg,1,"September 12, 2024",BORDEAUX - Unknown,,,yes,
First Leg,1,"September 13, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,2,"September 16, 2024",CHAMONIX - Unknown,,,yes,
First Leg,2,"September 16, 2024",GRENOBLE - Unknown,,,yes,
First Leg,2,"September 16, 2024",AMIENS - Unknown,,,yes,
First Leg,2,"September 16, 2024",MARSEILLE - Unknown,,,yes,
First Leg,2,"September 16, 2024",GAP - Unknown,,,yes,
First Leg,2,"September 16, 2024",ANGERS - Unknown,,,yes,
First Leg,3,"September 19, 2024",NICE - Unknown,,,yes,
First Leg,3,"September 19, 2024",BORDEAUX - Unknown,,,yes,
First Leg,3,"September 19, 2024",ANGLET - Unknown,,,yes,
First Leg,3,"September 19, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,3,"September 19, 2024",GAP - Unknown,,,yes,
First Leg,3,"September 19, 2024",BRIANÇON - Unknown,,,yes,
First Leg,6,"September 21, 2024",ROUEN - Unknown,,,yes,
First Leg,4,"September 23, 2024",ROUEN - Unknown,,,yes,
First Leg,4,"September 23, 2024",CHAMONIX - Unknown,,,yes,
First Leg,4,"September 23, 2024",GRENOBLE - Unknown,,,yes,
First Leg,4,"September 23, 2024",AMIENS - Unknown,,,yes,
First Leg,4,"September 23, 2024",MARSEILLE - Unknown,,,yes,
First Leg,4,"September 23, 2024",ANGERS - Unknown,,,yes,
First Leg,5,"September 26, 2024",NICE - Unknown,,,yes,
First Leg,5,"September 26, 2024",GAP - Unknown,,,yes,
First Leg,5,"September 26, 2024",CHAMONIX - Unknown,,,yes,
First Leg,5,"September 26, 2024",ANGLET - Unknown,,,yes,
First Leg,5,"September 26, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,15,"September 28, 2024",ANGERS - Unknown,,,yes,
First Leg,6,"September 30, 2024",GRENOBLE - Unknown,,,yes,
First Leg,6,"September 30, 2024",AMIENS - Unknown,,,yes,
First Leg,6,"September 30, 2024",BORDEAUX - Unknown,,,yes,
First Leg,6,"September 30, 2024",MARSEILLE - Unknown,,,yes,
First Leg,6,"September 30, 2024",ANGERS - Unknown,,,yes,
First Leg,7,"October 3, 2024",NICE - Unknown,,,yes,
First Leg,7,"October 3, 2024",GAP - Unknown,,,yes,
First Leg,7,"October 3, 2024",CHAMONIX - Unknown,,,yes,
First Leg,7,"October 3, 2024",GRENOBLE - Unknown,,,yes,
First Leg,7,"October 3, 2024",ANGLET - Unknown,,,yes,
First Leg,7,"October 3, 2024",BRIANÇON - Unknown,,,yes,
Second Leg,23,"October 5, 2024",NICE - Unknown,,,yes,
First Leg,8,"October 7, 2024",AMIENS - Unknown,,,yes,
First Leg,8,"October 7, 2024",MARSEILLE - Unknown,,,yes,
First Leg,8,"October 7, 2024",ANGERS - Unknown,,,yes,
First Leg,8,"October 7, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,9,"October 10, 2024",GAP - Unknown,,,yes,
First Leg,9,"October 10, 2024",GRENOBLE - Unknown,,,yes,
First Leg,9,"October 10, 2024",MARSEILLE - Unknown,,,yes,
First Leg,9,"October 10, 2024",ANGLET - Unknown,,,yes,
First Leg,9,"October 10, 2024",BRIANÇON - Unknown,,,yes,
First Leg,8,"October 12, 2024",ROUEN - Unknown,,,yes,
First Leg,10,"October 14, 2024",BORDEAUX - Unknown,,,yes,
First Leg,10,"October 14, 2024",AMIENS - Unknown,,,yes,
First Leg,10,"October 14, 2024",ANGERS - Unknown,,,yes,
First Leg,10,"October 14, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,11,"October 17, 2024",GAP - Unknown,,,yes,
First Leg,11,"October 17, 2024",ROUEN - Unknown,,,yes,
First Leg,11,"October 17, 2024",CHAMONIX - Unknown,,,yes,
First Leg,11,"October 17, 2024",GRENOBLE - Unknown,,,yes,
First Leg,11,"October 17, 2024",AMIENS - Unknown,,,yes,
First Leg,11,"October 17, 2024",ANGLET - Unknown,,,yes,
Second Leg,25,"October 18, 2024",GRENOBLE - Unknown,,,yes,
First Leg,8,"October 19, 2024",BORDEAUX - Unknown,,,yes,
First Leg,12,"October 24, 2024",BRIANÇON - Unknown,,,yes,
First Leg,12,"October 24, 2024",NICE - Unknown,,,yes,
First Leg,12,"October 24, 2024",BORDEAUX - Unknown,,,yes,
First Leg,12,"October 24, 2024",ROUEN - Unknown,,,yes,
First Leg,12,"October 24, 2024",ANGLET - Unknown,,,yes,
First Leg,12,"October 24, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,10,"October 26, 2024",NICE - Unknown,,,yes,
First Leg,13,"October 28, 2024",ROUEN - Unknown,,,yes,
First Leg,13,"October 28, 2024",MARSEILLE - Unknown,,,yes,
First Leg,13,"October 28, 2024",CHAMONIX - Unknown,,,yes,
First Leg,13,"October 28, 2024",AMIENS - Unknown,,,yes,
First Leg,13,"October 28, 2024",GRENOBLE - Unknown,,,yes,
First Leg,14,"October 31, 2024",GAP - Unknown,,,yes,
First Leg,14,"October 31, 2024",NICE - Unknown,,,yes,
First Leg,14,"October 31, 2024",BRIANÇON - Unknown,,,yes,
First Leg,14,"October 31, 2024",BORDEAUX - Unknown,,,yes,
First Leg,14,"October 31, 2024",ANGLET - Unknown,,,yes,
First Leg,14,"October 31, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,18,"November 1, 2024",GRENOBLE - Unknown,,,yes,
First Leg,15,"November 2, 2024",ROUEN - Unknown,,,yes,
First Leg,15,"November 2, 2024",AMIENS - Unknown,,,yes,
First Leg,15,"November 2, 2024",BORDEAUX - Unknown,,,yes,
First Leg,15,"November 2, 2024",MARSEILLE - Unknown,,,yes,
First Leg,16,"November 4, 2024",BRIANÇON - Unknown,,,yes,
First Leg,16,"November 4, 2024",NICE - Unknown,,,yes,
First Leg,16,"November 4, 2024",CHAMONIX - Unknown,,,yes,
First Leg,16,"November 4, 2024",GAP - Unknown,,,yes,
First Leg,16,"November 4, 2024",ANGLET - Unknown,,,yes,
First Leg,16,"November 4, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,17,"November 7, 2024",ROUEN - Unknown,,,yes,
First Leg,17,"November 7, 2024",BORDEAUX - Unknown,,,yes,
First Leg,17,"November 7, 2024",AMIENS - Unknown,,,yes,
First Leg,17,"November 7, 2024",MARSEILLE - Unknown,,,yes,
First Leg,17,"November 7, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,17,"November 7, 2024",ANGERS - Unknown,,,yes,
First Leg,1,"November 9, 2024",ROUEN - Unknown,,,yes,
First Leg,15,"November 11, 2024",GRENOBLE - Unknown,,,yes,
First Leg,13,"November 11, 2024",ANGERS - Unknown,,,yes,
First Leg,18,"November 14, 2024",GAP - Unknown,,,yes,
First Leg,18,"November 14, 2024",BRIANÇON - Unknown,,,yes,
First Leg,18,"November 14, 2024",NICE - Unknown,,,yes,
First Leg,18,"November 14, 2024",CHAMONIX - Unknown,,,yes,
First Leg,18,"November 14, 2024",ANGLET - Unknown,,,yes,
First Leg,19,"November 18, 2024",NICE - Unknown,,,yes,
First Leg,19,"November 18, 2024",ROUEN - Unknown,,,yes,
First Leg,19,"November 18, 2024",BORDEAUX - Unknown,,,yes,
First Leg,19,"November 18, 2024",AMIENS - Unknown,,,yes,
First Leg,19,"November 18, 2024",CERGY-PONTOISE - Unknown,,,yes,
First Leg,19,"November 18, 2024",ANGERS - Unknown,,,yes,
First Leg,20,"November 21, 2024",GAP - Unknown,,,yes,
First Leg,20,"November 21, 2024",BRIANÇON - Unknown,,,yes,
First Leg,20,"November 21, 2024",CHAMONIX - Unknown,,,yes,
First Leg,20,"November 21, 2024",GRENOBLE - Unknown,,,yes,
First Leg,20,"November 21, 2024",MARSEILLE - Unknown,,,yes,
First Leg,20,"November 21, 2024",ANGLET - Unknown,,,yes,
First Leg,21,"November 23, 2024",CERGY-PONTOISE - Unknown,,,yes,
