rank,team,points,games_played,wins,overtime_wins,overtime_losses,losses,goals_for,goals_againts,penalty_minutes
1,GRENOBLE,43,17,13,1,2,1,83,32,150
2,ANGERS,38,17,12,1,0,4,66,44,127
3,BORDEAUX,35,18,9,3,2,4,65,42,133
4,AMIENS,35,18,9,4,0,5,64,53,222
5,MARSEILLE,30,18,8,2,2,6,58,56,120
6,ROUEN,27,17,8,1,1,7,77,60,124
7,CERGY,23,17,6,2,1,8,54,53,154
8,CHAMONIX,21,17,4,3,3,7,45,51,132
9,ANGLET,19,18,3,4,2,9,49,73,116
10,NICE,18,20,5,0,3,12,41,71,115
11,GAP,15,18,3,1,4,10,54,95,111
12,BRIANCON,11,15,3,0,2,10,34,60,170
