leg,journee,date,match,win_type,score,available,winner
First Leg,,17 septembre 2024,Ambri - Rapperswil,Regular Time,No Score,yes,
First Leg,,17 septembre 2024,Bienne - Zurich,Regular Time,No Score,yes,
First Leg,,17 septembre 2024,Davos - Kloten,Regular Time,No Score,yes,
First Leg,,17 septembre 2024,Fribourg - Ajoie,Regular Time,No Score,yes,
First Leg,,17 septembre 2024,Lausanne - Genève,Regular Time,No Score,yes,
First Leg,,17 septembre 2024,Zoug - Lugano,Regular Time,No Score,yes,
First Leg,,18 septembre 2024,Berne - Langnau,Regular Time,No Score,yes,
First Leg,,19 septembre 2024,Lugano - Davos,Regular Time,No Score,yes,
First Leg,,20 septembre 2024,Zurich - Ambri,Regular Time,No Score,yes,
First Leg,,20 septembre 2024,Ajoie - Lausanne,Regular Time,No Score,yes,
First Leg,,20 septembre 2024,Kloten - Berne,Regular Time,No Score,yes,
First Leg,,20 septembre 2024,Rapperswil - Bienne,Regular Time,No Score,yes,
First Leg,,20 septembre 2024,Langnau - Fribourg,Regular Time,No Score,yes,
First Leg,,21 septembre 2024,Ambri - Kloten,Regular Time,No Score,yes,
First Leg,,21 septembre 2024,Berne - Zurich,Regular Time,No Score,yes,
First Leg,,21 septembre 2024,Bienne - Ajoie,Regular Time,No Score,yes,
First Leg,,21 septembre 2024,Davos - Genève,Regular Time,No Score,yes,
First Leg,,21 septembre 2024,Fribourg - Rapperswil,Regular Time,No Score,yes,
First Leg,,21 septembre 2024,Lausanne - Lugano,Regular Time,No Score,yes,
First Leg,,21 septembre 2024,Zoug - Langnau,Regular Time,No Score,yes,
First Leg,,24 septembre 2024,Fribourg - Bienne,Regular Time,No Score,yes,
First Leg,,24 septembre 2024,Kloten - Lausanne,Regular Time,No Score,yes,
First Leg,,24 septembre 2024,Rapperswil - Ajoie,Regular Time,No Score,yes,
First Leg,,24 septembre 2024,Lugano - Berne,Regular Time,No Score,yes,
First Leg,,24 septembre 2024,Langnau - Davos,Regular Time,No Score,yes,
First Leg,,24 septembre 2024,Zurich - Genève,Regular Time,No Score,yes,
First Leg,,24 septembre 2024,Zoug - Ambri,Regular Time,No Score,yes,
First Leg,,27 septembre 2024,Ajoie - Zoug,Regular Time,No Score,yes,
First Leg,,27 septembre 2024,Ambri - Bienne,Regular Time,No Score,yes,
First Leg,,27 septembre 2024,Kloten - Fribourg,Regular Time,No Score,yes,
First Leg,,27 septembre 2024,Lausanne - Berne,Regular Time,No Score,yes,
First Leg,,27 septembre 2024,Zurich - Langnau,Regular Time,No Score,yes,
First Leg,,28 septembre 2024,Berne - Ambri,Regular Time,No Score,yes,
First Leg,,28 septembre 2024,Bienne - Genève,Regular Time,No Score,yes,
First Leg,,28 septembre 2024,Fribourg - Zurich,Regular Time,No Score,yes,
First Leg,,28 septembre 2024,Rapperswil - Lausanne,Regular Time,No Score,yes,
First Leg,,28 septembre 2024,Lugano - Kloten,Regular Time,No Score,yes,
First Leg,,28 septembre 2024,Langnau - Ajoie,Regular Time,No Score,yes,
First Leg,,28 septembre 2024,Zoug - Davos,Regular Time,No Score,yes,
First Leg,,29 septembre 2024,Davos - Rapperswil,Regular Time,No Score,yes,
First Leg,,1 octobre 2024,Ajoie - Berne,Regular Time,No Score,yes,
First Leg,,1 octobre 2024,Ambri - Davos,Regular Time,No Score,yes,
First Leg,,1 octobre 2024,Fribourg - Genève,Regular Time,No Score,yes,
First Leg,,1 octobre 2024,Kloten - Zoug,Regular Time,No Score,yes,
First Leg,,1 octobre 2024,Lausanne - Bienne,Regular Time,No Score,yes,
First Leg,,1 octobre 2024,Langnau - Lugano,Regular Time,No Score,yes,
First Leg,,1 octobre 2024,Zurich - Rapperswil,Regular Time,No Score,yes,
First Leg,,4 octobre 2024,Ajoie - Kloten,Regular Time,No Score,yes,
First Leg,,4 octobre 2024,Berne - Fribourg,Regular Time,No Score,yes,
First Leg,,4 octobre 2024,Bienne - Lugano,Regular Time,No Score,yes,
First Leg,,4 octobre 2024,Rapperswil - Langnau,Regular Time,No Score,yes,
First Leg,,4 octobre 2024,Lausanne - Zoug,Regular Time,No Score,yes,
First Leg,,4 octobre 2024,Ambri - Genève,Regular Time,No Score,yes,
First Leg,,5 octobre 2024,Fribourg - Davos,Regular Time,No Score,yes,
First Leg,,5 octobre 2024,Kloten - Genève,Regular Time,No Score,yes,
First Leg,,5 octobre 2024,Langnau - Bienne,Regular Time,No Score,yes,
First Leg,,5 octobre 2024,Zurich - Lausanne,Regular Time,No Score,yes,
First Leg,,5 octobre 2024,Zoug - Berne,Regular Time,No Score,yes,
First Leg,,6 octobre 2024,Davos - Zurich,Regular Time,No Score,yes,
First Leg,,6 octobre 2024,Lugano - Rapperswil,Regular Time,No Score,yes,
First Leg,,9 octobre 2024,Kloten - Ambri,Regular Time,No Score,yes,
First Leg,,10 octobre 2024,Davos - Berne,Regular Time,No Score,yes,
First Leg,,11 octobre 2024,Ambri - Lugano,Regular Time,No Score,yes,
First Leg,,11 octobre 2024,Kloten - Rapperswil,Regular Time,No Score,yes,
First Leg,,11 octobre 2024,Lausanne - Fribourg,Regular Time,No Score,yes,
First Leg,,11 octobre 2024,Zurich - Ajoie,Regular Time,No Score,yes,
First Leg,,11 octobre 2024,Zoug - Bienne,Regular Time,No Score,yes,
First Leg,,12 octobre 2024,Ajoie - Davos,Regular Time,No Score,yes,
First Leg,,12 octobre 2024,Berne - Genève,Regular Time,No Score,yes,
First Leg,,12 octobre 2024,Fribourg - Ambri,Regular Time,No Score,yes,
First Leg,,12 octobre 2024,Rapperswil - Zoug,Regular Time,No Score,yes,
First Leg,,12 octobre 2024,Lugano - Zurich,Regular Time,No Score,yes,
First Leg,,12 octobre 2024,Langnau - Lausanne,Regular Time,No Score,yes,
First Leg,,13 octobre 2024,Bienne - Kloten,Regular Time,No Score,yes,
First Leg,,16 octobre 2024,Zoug - Ajoie,Regular Time,No Score,yes,
First Leg,,17 octobre 2024,Berne - Bienne,Regular Time,No Score,yes,
First Leg,,18 octobre 2024,Ambri - Langnau,Regular Time,No Score,yes,
First Leg,,18 octobre 2024,Davos - Lausanne,Regular Time,No Score,yes,
First Leg,,18 octobre 2024,Genève - Rapperswil,Regular Time,No Score,yes,
First Leg,,18 octobre 2024,Kloten - Zurich,Regular Time,No Score,yes,
First Leg,,18 octobre 2024,Lugano - Ajoie,Regular Time,No Score,yes,
First Leg,,18 octobre 2024,Zoug - Fribourg,Regular Time,No Score,yes,
First Leg,,19 octobre 2024,Ajoie - Genève,Regular Time,No Score,yes,
First Leg,,19 octobre 2024,Bienne - Davos,Regular Time,No Score,yes,
First Leg,,19 octobre 2024,Fribourg - Lugano,Regular Time,No Score,yes,
First Leg,,19 octobre 2024,Rapperswil - Berne,Regular Time,No Score,yes,
First Leg,,19 octobre 2024,Lausanne - Ambri,Regular Time,No Score,yes,
First Leg,,19 octobre 2024,Langnau - Kloten,Regular Time,No Score,yes,
First Leg,,19 octobre 2024,Zurich - Zoug,Regular Time,No Score,yes,
First Leg,,22 octobre 2024,Ajoie - Fribourg,Regular Time,No Score,yes,
First Leg,,22 octobre 2024,Rapperswil - Ambri,Regular Time,No Score,yes,
First Leg,,22 octobre 2024,Lugano - Zoug,Regular Time,No Score,yes,
First Leg,,22 octobre 2024,Zurich - Bienne,Regular Time,No Score,yes,
First Leg,,23 octobre 2024,Genève - Lausanne,Regular Time,No Score,yes,
First Leg,,23 octobre 2024,Langnau - Berne,Regular Time,No Score,yes,
First Leg,,25 octobre 2024,Ambri - Zurich,Regular Time,No Score,yes,
First Leg,,25 octobre 2024,Berne - Kloten,Regular Time,No Score,yes,
First Leg,,25 octobre 2024,Bienne - Rapperswil,Regular Time,No Score,yes,
First Leg,,25 octobre 2024,Davos - Lugano,Regular Time,No Score,yes,
First Leg,,25 octobre 2024,Fribourg - Langnau,Regular Time,No Score,yes,
First Leg,,25 octobre 2024,Lausanne - Ajoie,Regular Time,No Score,yes,
First Leg,,25 octobre 2024,Zoug - Genève,Regular Time,No Score,yes,
First Leg,,26 octobre 2024,Ajoie - Bienne,Regular Time,No Score,yes,
First Leg,,26 octobre 2024,Genève - Davos,Regular Time,No Score,yes,
First Leg,,26 octobre 2024,Rapperswil - Fribourg,Regular Time,No Score,yes,
First Leg,,26 octobre 2024,Lugano - Lausanne,Regular Time,No Score,yes,
First Leg,,26 octobre 2024,Langnau - Zoug,Regular Time,No Score,yes,
First Leg,,27 octobre 2024,Zurich - Berne,Regular Time,No Score,yes,
First Leg,,29 octobre 2024,Ajoie - Rapperswil,Regular Time,No Score,yes,
First Leg,,29 octobre 2024,Ambri - Zoug,Regular Time,No Score,yes,
First Leg,,29 octobre 2024,Berne - Lugano,Regular Time,No Score,yes,
First Leg,,29 octobre 2024,Bienne - Fribourg,Regular Time,No Score,yes,
First Leg,,29 octobre 2024,Davos - Langnau,Regular Time,No Score,yes,
First Leg,,29 octobre 2024,Genève - Zurich,Regular Time,No Score,yes,
First Leg,,29 octobre 2024,Lausanne - Kloten,Regular Time,No Score,yes,
First Leg,,31 octobre 2024,Fribourg - Kloten,Regular Time,No Score,yes,
First Leg,,1 novembre 2024,Berne - Lausanne,Regular Time,No Score,yes,
First Leg,,1 novembre 2024,Bienne - Ambri,Regular Time,No Score,yes,
First Leg,,1 novembre 2024,Rapperswil - Davos,Regular Time,No Score,yes,
First Leg,,1 novembre 2024,Lugano - Genève,Regular Time,No Score,yes,
First Leg,,2 novembre 2024,Ajoie - Langnau,Regular Time,No Score,yes,
First Leg,,2 novembre 2024,Ambri - Berne,Regular Time,No Score,yes,
First Leg,,2 novembre 2024,Davos - Zoug,Regular Time,No Score,yes,
First Leg,,2 novembre 2024,Genève - Bienne,Regular Time,No Score,yes,
First Leg,,2 novembre 2024,Kloten - Lugano,Regular Time,No Score,yes,
First Leg,,2 novembre 2024,Lausanne - Rapperswil,Regular Time,No Score,yes,
First Leg,,2 novembre 2024,Zurich - Fribourg,Regular Time,No Score,yes,
First Leg,,13 novembre 2024,Kloten - Davos,Regular Time,No Score,yes,
First Leg,,13 novembre 2024,Zoug - Berne,Regular Time,No Score,yes,
First Leg,,14 novembre 2024,Lausanne - Zurich,Regular Time,No Score,yes,
First Leg,,15 novembre 2024,Fribourg - Berne,Regular Time,No Score,yes,
First Leg,,15 novembre 2024,Kloten - Ajoie,Regular Time,No Score,yes,
First Leg,,15 novembre 2024,Langnau - Rapperswil,Regular Time,No Score,yes,
First Leg,,15 novembre 2024,Zurich - Davos,Regular Time,No Score,yes,
First Leg,,15 novembre 2024,Zoug - Lausanne,Regular Time,No Score,yes,
First Leg,,15 novembre 2024,Lugano - Bienne,Regular Time,No Score,yes,
First Leg,,16 novembre 2024,Ajoie - Ambri,Regular Time,No Score,yes,
First Leg,,16 novembre 2024,Berne - Zoug,Regular Time,No Score,yes,
First Leg,,16 novembre 2024,Bienne - Langnau,Regular Time,No Score,yes,
First Leg,,16 novembre 2024,Davos - Fribourg,Regular Time,No Score,yes,
First Leg,,16 novembre 2024,Genève - Kloten,Regular Time,No Score,yes,
First Leg,,17 novembre 2024,Rapperswil - Lugano,Regular Time,No Score,yes,
First Leg,,21 novembre 2024,Zoug - Rapperswil,Regular Time,No Score,yes,
First Leg,,22 novembre 2024,Ajoie - Zurich,Regular Time,No Score,yes,
First Leg,,22 novembre 2024,Berne - Davos,Regular Time,No Score,yes,
First Leg,,22 novembre 2024,Bienne - Zoug,Regular Time,No Score,yes,
First Leg,,22 novembre 2024,Fribourg - Lausanne,Regular Time,No Score,yes,
First Leg,,22 novembre 2024,Rapperswil - Kloten,Regular Time,No Score,yes,
First Leg,,22 novembre 2024,Lugano - Ambri,Regular Time,No Score,yes,
First Leg,,22 novembre 2024,Langnau - Genève,Regular Time,No Score,yes,
First Leg,,23 novembre 2024,Ambri - Fribourg,Regular Time,No Score,yes,
First Leg,,23 novembre 2024,Davos - Ajoie,Regular Time,No Score,yes,
First Leg,,23 novembre 2024,Genève - Berne,Regular Time,No Score,yes,
First Leg,,23 novembre 2024,Kloten - Bienne,Regular Time,No Score,yes,
First Leg,,23 novembre 2024,Zurich - Lugano,Regular Time,No Score,yes,
First Leg,,24 novembre 2024,Lausanne - Langnau,Regular Time,No Score,yes,
First Leg,,25 novembre 2024,Genève - Ambri,Regular Time,No Score,yes,
First Leg,,26 novembre 2024,Bienne - Lausanne,Regular Time,No Score,yes,
First Leg,,26 novembre 2024,Rapperswil - Zurich,Regular Time,No Score,yes,
First Leg,,26 novembre 2024,Lugano - Langnau,Regular Time,No Score,yes,
First Leg,,26 novembre 2024,Zoug - Kloten,Regular Time,No Score,yes,
First Leg,,27 novembre 2024,Berne - Ajoie,Regular Time,No Score,yes,
First Leg,,27 novembre 2024,Davos - Ambri,Regular Time,No Score,yes,
First Leg,,27 novembre 2024,Genève - Fribourg,Regular Time,No Score,yes,
First Leg,,28 novembre 2024,Lausanne - Davos,Regular Time,No Score,yes,
First Leg,,28 novembre 2024,Zoug - Zurich,Regular Time,No Score,yes,
First Leg,,29 novembre 2024,Ajoie - Lugano,Regular Time,No Score,yes,
First Leg,,29 novembre 2024,Bienne - Berne,Regular Time,No Score,yes,
First Leg,,29 novembre 2024,Fribourg - Zoug,Regular Time,No Score,yes,
First Leg,,29 novembre 2024,Rapperswil - Genève,Regular Time,No Score,yes,
First Leg,,29 novembre 2024,Langnau - Ambri,Regular Time,No Score,yes,
First Leg,,29 novembre 2024,Zurich - Kloten,Regular Time,No Score,yes,
First Leg,,30 novembre 2024,Davos - Bienne,Regular Time,No Score,yes,
First Leg,,30 novembre 2024,Genève - Ajoie,Regular Time,No Score,yes,
First Leg,,30 novembre 2024,Kloten - Langnau,Regular Time,No Score,yes,
First Leg,,30 novembre 2024,Lugano - Fribourg,Regular Time,No Score,yes,
First Leg,,1 décembre 2024,Berne - Rapperswil,Regular Time,No Score,yes,
First Leg,,1 décembre 2024,Ambri - Lausanne,Regular Time,No Score,yes,
Second Leg,,4 décembre 2024,Ajoie - Kloten,Regular Time,No Score,yes,
Second Leg,,4 décembre 2024,Ambri - Zoug,Regular Time,No Score,yes,
Second Leg,,4 décembre 2024,Lugano - Rapperswil,Regular Time,No Score,yes,
Second Leg,,4 décembre 2024,Langnau - Fribourg,Regular Time,No Score,yes,
Second Leg,,5 décembre 2024,Genève - Davos,Regular Time,No Score,yes,
Second Leg,,5 décembre 2024,Lausanne - Bienne,Regular Time,No Score,yes,
Second Leg,,6 décembre 2024,Kloten - Genève,Regular Time,No Score,yes,
Second Leg,,6 décembre 2024,Rapperswil - Langnau,Regular Time,No Score,yes,
Second Leg,,6 décembre 2024,Zurich - Ambri,Regular Time,No Score,yes,
Second Leg,,7 décembre 2024,Ajoie - Lausanne,Regular Time,No Score,yes,
Second Leg,,7 décembre 2024,Ambri - Davos,Regular Time,No Score,yes,
Second Leg,,7 décembre 2024,Berne - Fribourg,Regular Time,No Score,yes,
Second Leg,,7 décembre 2024,Bienne - Kloten,Regular Time,No Score,yes,
Second Leg,,7 décembre 2024,Lugano - Zurich,Regular Time,No Score,yes,
Second Leg,,7 décembre 2024,Langnau - Zoug,Regular Time,No Score,yes,
Second Leg,,8 décembre 2024,Davos - Lugano,Regular Time,No Score,yes,
Second Leg,,8 décembre 2024,Fribourg - Ajoie,Regular Time,No Score,yes,
Second Leg,,8 décembre 2024,Genève - Rapperswil,Regular Time,No Score,yes,
Second Leg,,18 décembre 2024,Davos - Langnau,Regular Time,No Score,yes,
Second Leg,,18 décembre 2024,Kloten - Lugano,Regular Time,No Score,yes,
Second Leg,,18 décembre 2024,Rapperswil - Berne,Regular Time,No Score,yes,
Second Leg,,18 décembre 2024,Lausanne - Ambri,Regular Time,No Score,yes,
Second Leg,,20 décembre 2024,Ajoie - Bienne,Regular Time,No Score,yes,
Second Leg,,20 décembre 2024,Ambri - Rapperswil,Regular Time,No Score,yes,
Second Leg,,20 décembre 2024,Berne - Langnau,Regular Time,No Score,yes,
Second Leg,,20 décembre 2024,Davos - Lausanne,Regular Time,No Score,yes,
Second Leg,,20 décembre 2024,Fribourg - Kloten,Regular Time,No Score,yes,
Second Leg,,20 décembre 2024,Genève - Zurich,Regular Time,No Score,yes,
Second Leg,,20 décembre 2024,Lugano - Zoug,Regular Time,No Score,yes,
Second Leg,,21 décembre 2024,Bienne - Davos,Regular Time,No Score,yes,
Second Leg,,21 décembre 2024,Kloten - Ambri,Regular Time,No Score,yes,
Second Leg,,21 décembre 2024,Rapperswil - Fribourg,Regular Time,No Score,yes,
Second Leg,,21 décembre 2024,Lausanne - Genève,Regular Time,No Score,yes,
Second Leg,,21 décembre 2024,Langnau - Lugano,Regular Time,No Score,yes,
Second Leg,,21 décembre 2024,Zurich - Berne,Regular Time,No Score,yes,
Second Leg,,21 décembre 2024,Zoug - Ajoie,Regular Time,No Score,yes,
Second Leg,,23 décembre 2024,Ajoie - Genève,Regular Time,No Score,yes,
Second Leg,,23 décembre 2024,Bienne - Berne,Regular Time,No Score,yes,
Second Leg,,23 décembre 2024,Kloten - Davos,Regular Time,No Score,yes,
Second Leg,,23 décembre 2024,Lugano - Ambri,Regular Time,No Score,yes,
Second Leg,,23 décembre 2024,Langnau - Lausanne,Regular Time,No Score,yes,
Second Leg,,23 décembre 2024,Zurich - Rapperswil,Regular Time,No Score,yes,
Second Leg,,23 décembre 2024,Zoug - Fribourg,Regular Time,No Score,yes,
Second Leg,,2 janvier 2025,Lausanne - Kloten,Regular Time,No Score,yes,
Second Leg,,2 janvier 2025,Ambri - Langnau,Regular Time,No Score,yes,
Second Leg,,2 janvier 2025,Berne - Lugano,Regular Time,No Score,yes,
Second Leg,,2 janvier 2025,Genève - Bienne,Regular Time,No Score,yes,
Second Leg,,2 janvier 2025,Rapperswil - Zoug,Regular Time,No Score,yes,
Second Leg,,3 janvier 2025,Davos - Ajoie,Regular Time,No Score,yes,
Second Leg,,3 janvier 2025,Fribourg - Zurich,Regular Time,No Score,yes,
Second Leg,,4 janvier 2025,Bienne - Rapperswil,Regular Time,No Score,yes,
Second Leg,,4 janvier 2025,Kloten - Berne,Regular Time,No Score,yes,
Second Leg,,4 janvier 2025,Langnau - Genève,Regular Time,No Score,yes,
Second Leg,,4 janvier 2025,Zoug - Davos,Regular Time,No Score,yes,
Second Leg,,5 janvier 2025,Ajoie - Ambri,Regular Time,No Score,yes,
Second Leg,,5 janvier 2025,Lugano - Fribourg,Regular Time,No Score,yes,
Second Leg,,5 janvier 2025,Zurich - Lausanne,Regular Time,No Score,yes,
Second Leg,,5 janvier 2025,Genève - Langnau,Regular Time,No Score,yes,
Second Leg,,6 janvier 2025,Lausanne - Zoug,Regular Time,No Score,yes,
Second Leg,,7 janvier 2025,Ajoie - Langnau,Regular Time,No Score,yes,
Second Leg,,7 janvier 2025,Ambri - Fribourg,Regular Time,No Score,yes,
Second Leg,,7 janvier 2025,Bienne - Lugano,Regular Time,No Score,yes,
Second Leg,,7 janvier 2025,Davos - Rapperswil,Regular Time,No Score,yes,
Second Leg,,7 janvier 2025,Genève - Berne,Regular Time,No Score,yes,
Second Leg,,7 janvier 2025,Kloten - Zurich,Regular Time,No Score,yes,
Second Leg,,8 janvier 2025,Zoug - Genève,Regular Time,No Score,yes,
Second Leg,,9 janvier 2025,Fribourg - Davos,Regular Time,No Score,yes,
Second Leg,,10 janvier 2025,Ambri - Genève,Regular Time,No Score,yes,
Second Leg,,10 janvier 2025,Berne - Ajoie,Regular Time,No Score,yes,
Second Leg,,10 janvier 2025,Rapperswil - Kloten,Regular Time,No Score,yes,
Second Leg,,10 janvier 2025,Lugano - Lausanne,Regular Time,No Score,yes,
Second Leg,,10 janvier 2025,Langnau - Zurich,Regular Time,No Score,yes,
Second Leg,,11 janvier 2025,Ajoie - Lugano,Regular Time,No Score,yes,
Second Leg,,11 janvier 2025,Bienne - Ambri,Regular Time,No Score,yes,
Second Leg,,11 janvier 2025,Davos - Berne,Regular Time,No Score,yes,
Second Leg,,11 janvier 2025,Genève - Fribourg,Regular Time,No Score,yes,
Second Leg,,11 janvier 2025,Kloten - Langnau,Regular Time,No Score,yes,
Second Leg,,11 janvier 2025,Zurich - Zoug,Regular Time,No Score,yes,
Second Leg,,12 janvier 2025,Zoug - Bienne,Regular Time,No Score,yes,
Second Leg,,15 janvier 2025,Berne - Ambri,Regular Time,No Score,yes,
Second Leg,,15 janvier 2025,Fribourg - Lausanne,Regular Time,No Score,yes,
Second Leg,,15 janvier 2025,Rapperswil - Ajoie,Regular Time,No Score,yes,
Second Leg,,15 janvier 2025,Lugano - Genève,Regular Time,No Score,yes,
Second Leg,,15 janvier 2025,Langnau - Bienne,Regular Time,No Score,yes,
Second Leg,,15 janvier 2025,Zurich - Davos,Regular Time,No Score,yes,
Second Leg,,15 janvier 2025,Zoug - Kloten,Regular Time,No Score,yes,
Second Leg,,17 janvier 2025,Ajoie - Fribourg,Regular Time,No Score,yes,
Second Leg,,17 janvier 2025,Ambri - Zurich,Regular Time,No Score,yes,
Second Leg,,17 janvier 2025,Berne - Zoug,Regular Time,No Score,yes,
Second Leg,,17 janvier 2025,Bienne - Lausanne,Regular Time,No Score,yes,
Second Leg,,17 janvier 2025,Genève - Kloten,Regular Time,No Score,yes,
Second Leg,,17 janvier 2025,Lugano - Davos,Regular Time,No Score,yes,
Second Leg,,18 janvier 2025,Fribourg - Berne,Regular Time,No Score,yes,
Second Leg,,18 janvier 2025,Kloten - Bienne,Regular Time,No Score,yes,
Second Leg,,18 janvier 2025,Rapperswil - Genève,Regular Time,No Score,yes,
Second Leg,,18 janvier 2025,Lausanne - Ajoie,Regular Time,No Score,yes,
Second Leg,,18 janvier 2025,Zurich - Lugano,Regular Time,No Score,yes,
Second Leg,,18 janvier 2025,Zoug - Langnau,Regular Time,No Score,yes,
Second Leg,,19 janvier 2025,Langnau - Rapperswil,Regular Time,No Score,yes,
Second Leg,,22 janvier 2025,Ambri - Ajoie,Regular Time,No Score,yes,
Second Leg,,22 janvier 2025,Langnau - Zurich,Regular Time,No Score,yes,
Second Leg,,22 janvier 2025,Berne - Lausanne,Regular Time,No Score,yes,
Second Leg,,24 janvier 2025,Fribourg - Langnau,Regular Time,No Score,yes,
Second Leg,,24 janvier 2025,Kloten - Ajoie,Regular Time,No Score,yes,
Second Leg,,24 janvier 2025,Rapperswil - Lugano,Regular Time,No Score,yes,
Second Leg,,24 janvier 2025,Lausanne - Berne,Regular Time,No Score,yes,
Second Leg,,24 janvier 2025,Zurich - Bienne,Regular Time,No Score,yes,
Second Leg,,24 janvier 2025,Zoug - Ambri,Regular Time,No Score,yes,
Second Leg,,25 janvier 2025,Ajoie - Zurich,Regular Time,No Score,yes,
Second Leg,,25 janvier 2025,Ambri - Lausanne,Regular Time,No Score,yes,
Second Leg,,25 janvier 2025,Berne - Rapperswil,Regular Time,No Score,yes,
Second Leg,,25 janvier 2025,Bienne - Fribourg,Regular Time,No Score,yes,
Second Leg,,25 janvier 2025,Genève - Zoug,Regular Time,No Score,yes,
Second Leg,,25 janvier 2025,Lugano - Kloten,Regular Time,No Score,yes,
Second Leg,,25 janvier 2025,Langnau - Davos,Regular Time,No Score,yes,
Second Leg,,28 janvier 2025,Ambri - Lugano,Regular Time,No Score,yes,
Second Leg,,28 janvier 2025,Berne - Bienne,Regular Time,No Score,yes,
Second Leg,,28 janvier 2025,Davos - Kloten,Regular Time,No Score,yes,
Second Leg,,28 janvier 2025,Fribourg - Zoug,Regular Time,No Score,yes,
Second Leg,,28 janvier 2025,Genève - Ajoie,Regular Time,No Score,yes,
Second Leg,,28 janvier 2025,Rapperswil - Zurich,Regular Time,No Score,yes,
Second Leg,,28 janvier 2025,Lausanne - Langnau,Regular Time,No Score,yes,
Second Leg,,30 janvier 2025,Davos - Genève,Regular Time,No Score,yes,
Second Leg,,31 janvier 2025,Bienne - Ajoie,Regular Time,No Score,yes,
Second Leg,,31 janvier 2025,Kloten - Fribourg,Regular Time,No Score,yes,
Second Leg,,31 janvier 2025,Rapperswil - Ambri,Regular Time,No Score,yes,
Second Leg,,31 janvier 2025,Lausanne - Davos,Regular Time,No Score,yes,
Second Leg,,31 janvier 2025,Langnau - Berne,Regular Time,No Score,yes,
Second Leg,,31 janvier 2025,Zurich - Genève,Regular Time,No Score,yes,
Second Leg,,31 janvier 2025,Zoug - Lugano,Regular Time,No Score,yes,
Second Leg,,1 février 2025,Ajoie - Zoug,Regular Time,No Score,yes,
Second Leg,,1 février 2025,Ambri - Kloten,Regular Time,No Score,yes,
Second Leg,,1 février 2025,Berne - Zurich,Regular Time,No Score,yes,
Second Leg,,1 février 2025,Fribourg - Rapperswil,Regular Time,No Score,yes,
Second Leg,,2 février 2025,Davos - Bienne,Regular Time,No Score,yes,
Second Leg,,2 février 2025,Genève - Lausanne,Regular Time,No Score,yes,
Second Leg,,2 février 2025,Lugano - Langnau,Regular Time,No Score,yes,
Second Leg,,11 février 2025,Genève - Lugano,Regular Time,No Score,yes,
Second Leg,,11 février 2025,Bienne - Zurich,Regular Time,No Score,yes,
Second Leg,,11 février 2025,Lausanne - Rapperswil,Regular Time,No Score,yes,
Second Leg,,11 février 2025,Davos - Zoug,Regular Time,No Score,yes,
Second Leg,,12 février 2025,Zurich - Ajoie,Regular Time,No Score,yes,
Second Leg,,14 février 2025,Ajoie - Davos,Regular Time,No Score,yes,
Second Leg,,14 février 2025,Bienne - Genève,Regular Time,No Score,yes,
Second Leg,,14 février 2025,Kloten - Lausanne,Regular Time,No Score,yes,
Second Leg,,14 février 2025,Lugano - Berne,Regular Time,No Score,yes,
Second Leg,,14 février 2025,Langnau - Ambri,Regular Time,No Score,yes,
Second Leg,,14 février 2025,Zurich - Fribourg,Regular Time,No Score,yes,
Second Leg,,14 février 2025,Zoug - Rapperswil,Regular Time,No Score,yes,
Second Leg,,15 février 2025,Ambri - Ajoie,Regular Time,No Score,yes,
Second Leg,,15 février 2025,Berne - Kloten,Regular Time,No Score,yes,
Second Leg,,15 février 2025,Fribourg - Lugano,Regular Time,No Score,yes,
Second Leg,,15 février 2025,Genève - Langnau,Regular Time,No Score,yes,
